CityTier,PreferredLoginDevice,用户数,流失人数,流失率,平均订单数,平均返现,样本提示,流失率_原始
1,Computer,1070,180,0.16822429906542055,2.9485981308411215,173.56418691588783,可观察,0.16822429906542055
1,Mobile Phone,2596,352,0.13559322033898305,2.8894453004622496,175.9901463790447,可观察,0.13559322033898305
2,Computer,64,16,0.25,2.4375,173.345,可观察,0.25
2,Mobile Phone,178,32,0.1797752808988764,2.6235955056179776,179.1608988764045,可观察,0.1797752808988764
3,Computer,500,128,0.256,3.268,173.50848000000002,可观察,0.256
3,Mobile Phone,1222,240,0.19639934533551553,3.078559738134206,184.48657937806874,可观察,0.19639934533551553
