Complain,用户数,流失人数,流失率,平均订单数,平均满意度,平均返现,平均App使用时长,平均距上次下单天数,投诉状态
0,4026,440,0.1092896174863388,3.0004967709885744,3.0938897168405366,177.2067262791853,2.931693989071038,4.552657724788872,无投诉
1,1604,508,0.3167082294264339,2.864713216957606,2.9987531172069826,177.26395261845386,2.9420199501246884,4.225062344139651,有投诉
