CityTier,用户数,流失人数,流失率,平均订单数,平均返现,平均满意度,平均距上次下单天数,流失率_原始
1,3666,532,0.14511729405346427,2.90671031096563,175.28207855973812,3.073104200763775,4.447081287506819,0.14511729405346427
2,242,48,0.19834710743801653,2.574380165289256,177.62280991735537,3.2148760330578514,4.053719008264463,0.19834710743801653
3,1722,368,0.21370499419279906,3.1335656213704994,181.2989779326365,3.032520325203252,4.5423925667828104,0.21370499419279906
