OrderActivityLevel,用户数,流失人数,流失率,平均订单数,平均优惠券数,平均返现,平均满意度
低活跃,1877,337,0.1795418220564731,1.0671283963771976,0.567394778902504,155.68267448055408,3.0921683537559934
中活跃,1876,326,0.17377398720682302,2.0,1.568230277185501,184.23079957356074,3.0575692963752665
高活跃,1877,285,0.15183803942461374,5.817794352690464,3.014917421417155,191.75935002663826,3.0506126798082045
