PreferedOrderCat,用户数,流失人数,流失率,平均订单数,平均优惠券数,平均返现,平均满意度
Mobile Phone,2080,570,0.27403846153846156,2.1826923076923075,1.3721153846153846,140.19677884615385,3.082692307692308
Laptop & Accessory,2050,210,0.1024390243902439,2.766341463414634,1.6512195121951219,167.21839999999997,3.031219512195122
Fashion,826,128,0.1549636803874092,3.8656174334140436,2.318401937046005,210.4130508474576,3.1065375302663436
Grocery,410,20,0.04878048780487805,4.597560975609756,2.1902439024390246,266.2309756097561,3.078048780487805
Others,264,20,0.07575757575757576,5.25,2.3257575757575757,304.5559090909091,3.0757575757575757
